too long...

root@comp3134-Winter2023:~# 20:29:02.771708 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 610192:610348, ack 325, win 570, length 156
20:29:02.828235 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 710604:710760, ack 361, win 570, length 156
20:29:02.828560 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 710760:710916, ack 361, win 570, length 156
20:29:02.828625 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 710916:711072, ack 361, win 570, length 156
20:29:02.828676 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 711072:711228, ack 361, win 570, length 156
20:29:02.828725 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 711228:711384, ack 361, win 570, length 156
20:29:02.828773 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 711384:711540, ack 361, win 570, length 156
20:29:02.828824 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 711540:711696, ack 361, win 570, length 156
20:29:02.828877 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 711696:711852, ack 361, win 570, length 156
20:29:02.828922 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 711852:712008, ack 361, win 570, length 156
20:29:02.828983 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 712008:712164, ack 361, win 570, length 156
20:29:02.829029 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 712164:712320, ack 361, win 570, length 156
20:29:02.829075 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 712320:712476, ack 361, win 570, length 156
20:29:02.829122 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 712476:712632, ack 361, win 570, length 156
20:29:02.829170 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 712632:712788, ack 361, win 570, length 156
20:29:02.829217 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 712788:712944, ack 361, win 570, length 156
20:29:02.829264 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 712944:713100, ack 361, win 570, length 156
20:29:02.829312 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 713100:713256, ack 361, win 570, length 156
20:29:02.829360 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 713256:713412, ack 361, win 570, length 156
20:29:02.829407 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 713412:713568, ack 361, win 570, length 156
20:29:02.829816 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 713568:713724, ack 361, win 570, length 156
20:29:02.830052 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 713724:713880, ack 361, win 570, length 156
20:29:02.830128 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 713880:714036, ack 361, win 570, length 156
20:29:02.830258 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 714036:714192, ack 361, win 570, length 156
20:29:02.830321 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 714192:714348, ack 361, win 570, length 156
20:29:02.830372 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 714348:714504, ack 361, win 570, length 156
20:29:02.830422 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 714504:714660, ack 361, win 570, length 156
20:29:02.830475 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 714660:714816, ack 361, win 570, length 156
20:29:02.830526 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 714816:714972, ack 361, win 570, length 156
20:29:02.830571 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 714972:715128, ack 361, win 570, length 156
20:29:02.830620 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 715128:715284, ack 361, win 570, length 156
20:29:02.830682 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 715284:715440, ack 361, win 570, length 156
20:29:02.830734 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 715440:715596, ack 361, win 570, length 156
20:29:02.830781 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 715596:715752, ack 361, win 570, length 156
20:29:02.830907 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 715752:715908, ack 361, win 570, length 156
20:29:02.831030 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 715908:716064, ack 361, win 570, length 156
20:29:02.831450 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 688504, win 17976, length 0
20:29:02.831450 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 691780, win 17976, length 0
20:29:02.831501 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 716064:716220, ack 361, win 570, length 156
20:29:02.831631 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 716220:716584, ack 361, win 570, length 364
20:29:02.831675 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 692768, win 17972, length 0
20:29:02.831721 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 697708, win 17976, length 0
20:29:02.831721 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 698280, win 17974, length 0
20:29:02.831721 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [P.], seq 361:397, ack 698280, win 17974, length 36
20:29:02.831818 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 716584:716844, ack 397, win 570, length 260
20:29:02.831881 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 716844:717208, ack 397, win 570, length 364
20:29:02.831925 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 717208:717364, ack 397, win 570, length 156
20:29:02.831974 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 717364:717520, ack 397, win 570, length 156
20:29:02.832023 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 717520:717676, ack 397, win 570, length 156
20:29:02.832077 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 717676:717988, ack 397, win 570, length 312
20:29:02.832200 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 717988:718144, ack 397, win 570, length 156
20:29:02.832256 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 718144:718300, ack 397, win 570, length 156
20:29:02.832304 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 718300:718456, ack 397, win 570, length 156
20:29:02.832349 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 718456:718612, ack 397, win 570, length 156
20:29:02.832410 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 718612:718768, ack 397, win 570, length 156
20:29:02.832462 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 718768:718924, ack 397, win 570, length 156
20:29:02.832620 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 718924:719080, ack 397, win 570, length 156
20:29:02.832674 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 719080:719236, ack 397, win 570, length 156
20:29:02.832721 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 719236:719392, ack 397, win 570, length 156
20:29:02.832770 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 719392:719548, ack 397, win 570, length 156
20:29:02.832819 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 719548:719704, ack 397, win 570, length 156
20:29:02.832868 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 719704:719860, ack 397, win 570, length 156
20:29:02.832920 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 719860:720016, ack 397, win 570, length 156
20:29:02.832966 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 720016:720172, ack 397, win 570, length 156
20:29:02.833097 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 720172:720328, ack 397, win 570, length 156
20:29:02.833177 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 720328:720484, ack 397, win 570, length 156
20:29:02.833236 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 720484:720640, ack 397, win 570, length 156
20:29:02.833286 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 720640:720796, ack 397, win 570, length 156
20:29:02.833344 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 720796:720952, ack 397, win 570, length 156
20:29:02.833393 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 720952:721108, ack 397, win 570, length 156
20:29:02.833441 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 721108:721264, ack 397, win 570, length 156
20:29:02.833487 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 721264:721420, ack 397, win 570, length 156
20:29:02.833535 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 721420:721576, ack 397, win 570, length 156
20:29:02.833586 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 721576:721732, ack 397, win 570, length 156
20:29:02.833658 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 721732:721888, ack 397, win 570, length 156
20:29:02.833710 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 721888:722044, ack 397, win 570, length 156
20:29:02.833758 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 722044:722200, ack 397, win 570, length 156
20:29:02.833806 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 722200:722356, ack 397, win 570, length 156
20:29:02.833855 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 722356:722512, ack 397, win 570, length 156
20:29:02.833904 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 722512:722668, ack 397, win 570, length 156
20:29:02.833953 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 722668:722824, ack 397, win 570, length 156
20:29:02.834001 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 722824:722980, ack 397, win 570, length 156
20:29:02.834053 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 722980:723136, ack 397, win 570, length 156
20:29:02.834105 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 723136:723292, ack 397, win 570, length 156
20:29:02.834153 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 723292:723448, ack 397, win 570, length 156
20:29:02.834222 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 723448:723604, ack 397, win 570, length 156
20:29:02.834281 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 723604:723760, ack 397, win 570, length 156
20:29:02.834329 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 723760:723916, ack 397, win 570, length 156
20:29:02.834387 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 723916:724072, ack 397, win 570, length 156
20:29:02.834446 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 724072:724228, ack 397, win 570, length 156
20:29:02.834510 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 724228:724384, ack 397, win 570, length 156
20:29:02.834559 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 724384:724540, ack 397, win 570, length 156
20:29:02.834606 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 724540:724696, ack 397, win 570, length 156
20:29:02.834653 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 724696:724852, ack 397, win 570, length 156
20:29:02.834718 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 724852:725008, ack 397, win 570, length 156
20:29:02.834766 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 725008:725164, ack 397, win 570, length 156
20:29:02.834815 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 725164:725320, ack 397, win 570, length 156
20:29:02.834866 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 725320:725476, ack 397, win 570, length 156
20:29:02.834914 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 725476:725632, ack 397, win 570, length 156
20:29:02.834973 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 725632:725788, ack 397, win 570, length 156
20:29:02.835018 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 725788:725944, ack 397, win 570, length 156
20:29:02.835067 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 725944:726100, ack 397, win 570, length 156
20:29:02.835116 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 726100:726256, ack 397, win 570, length 156
20:29:02.835168 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 726256:726412, ack 397, win 570, length 156
20:29:02.835217 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 726412:726568, ack 397, win 570, length 156
20:29:02.835266 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 726568:726724, ack 397, win 570, length 156
20:29:02.835314 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 726724:726880, ack 397, win 570, length 156
20:29:02.835366 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 726880:727036, ack 397, win 570, length 156
20:29:02.835418 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 727036:727192, ack 397, win 570, length 156
20:29:02.835469 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 727192:727348, ack 397, win 570, length 156
20:29:02.835517 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 727348:727504, ack 397, win 570, length 156
20:29:02.835574 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 727504:727660, ack 397, win 570, length 156
20:29:02.835626 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 727660:727816, ack 397, win 570, length 156
20:29:02.835674 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 727816:727972, ack 397, win 570, length 156
20:29:02.835720 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 727972:728128, ack 397, win 570, length 156
20:29:02.835770 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 728128:728284, ack 397, win 570, length 156
20:29:02.835821 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 728284:728440, ack 397, win 570, length 156
20:29:02.835886 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 728440:728596, ack 397, win 570, length 156
20:29:02.835933 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 728596:728752, ack 397, win 570, length 156
20:29:02.835979 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 728752:728908, ack 397, win 570, length 156
20:29:02.836029 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 728908:729064, ack 397, win 570, length 156
20:29:02.836079 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 729064:729220, ack 397, win 570, length 156
20:29:02.836127 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 729220:729376, ack 397, win 570, length 156
20:29:02.836178 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 729376:729532, ack 397, win 570, length 156
20:29:02.836231 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 729532:729688, ack 397, win 570, length 156
20:29:02.836280 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 729688:729844, ack 397, win 570, length 156
20:29:02.836332 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 729844:730000, ack 397, win 570, length 156
20:29:02.836381 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 730000:730156, ack 397, win 570, length 156
20:29:02.836433 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 730156:730312, ack 397, win 570, length 156
20:29:02.836553 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 730312:730468, ack 397, win 570, length 156
20:29:02.836607 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 730468:730624, ack 397, win 570, length 156
20:29:02.836652 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 730624:730780, ack 397, win 570, length 156
20:29:02.836702 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 730780:730936, ack 397, win 570, length 156
20:29:02.836769 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 730936:731092, ack 397, win 570, length 156
20:29:02.836824 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 731092:731248, ack 397, win 570, length 156
20:29:02.836873 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 731248:731404, ack 397, win 570, length 156
20:29:02.836919 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 731404:731560, ack 397, win 570, length 156
20:29:02.836969 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 731560:731716, ack 397, win 570, length 156
20:29:02.837022 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 731716:731872, ack 397, win 570, length 156
20:29:02.837071 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 731872:732028, ack 397, win 570, length 156
20:29:02.837117 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 732028:732184, ack 397, win 570, length 156
20:29:02.837166 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 732184:732340, ack 397, win 570, length 156
20:29:02.837223 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 732340:732496, ack 397, win 570, length 156
20:29:02.837271 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 732496:732652, ack 397, win 570, length 156
20:29:02.837319 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 732652:732808, ack 397, win 570, length 156
20:29:02.837376 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 732808:732964, ack 397, win 570, length 156
20:29:02.837429 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 732964:733120, ack 397, win 570, length 156
20:29:02.837481 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 733120:733276, ack 397, win 570, length 156
20:29:02.837539 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 733276:733432, ack 397, win 570, length 156
20:29:02.837770 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 733432:733588, ack 397, win 570, length 156
20:29:02.837839 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 733588:733744, ack 397, win 570, length 156
20:29:02.837897 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 733744:733900, ack 397, win 570, length 156
20:29:02.837947 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 733900:734056, ack 397, win 570, length 156
20:29:02.837998 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 734056:734212, ack 397, win 570, length 156
20:29:02.838044 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 734212:734368, ack 397, win 570, length 156
20:29:02.838091 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 734368:734524, ack 397, win 570, length 156
20:29:02.838489 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 734524:734680, ack 397, win 570, length 156
20:29:02.838682 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 734680:734836, ack 397, win 570, length 156
20:29:02.838757 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 734836:734992, ack 397, win 570, length 156
20:29:02.838809 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 734992:735148, ack 397, win 570, length 156
20:29:02.838854 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 735148:735304, ack 397, win 570, length 156
20:29:02.838902 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 735304:735460, ack 397, win 570, length 156
20:29:02.838946 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 735460:735616, ack 397, win 570, length 156
20:29:02.838989 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 735616:735772, ack 397, win 570, length 156
20:29:02.839036 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 735772:735928, ack 397, win 570, length 156
20:29:02.839080 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 735928:736084, ack 397, win 570, length 156
20:29:02.839126 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 736084:736240, ack 397, win 570, length 156
20:29:02.839171 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 736240:736396, ack 397, win 570, length 156
20:29:02.839217 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 736396:736552, ack 397, win 570, length 156
20:29:02.839349 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 736552:736708, ack 397, win 570, length 156
20:29:02.839403 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 736708:736864, ack 397, win 570, length 156
20:29:02.839448 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 736864:737020, ack 397, win 570, length 156
20:29:02.839495 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 737020:737176, ack 397, win 570, length 156
20:29:02.839540 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 737176:737332, ack 397, win 570, length 156
20:29:02.839587 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 737332:737488, ack 397, win 570, length 156
20:29:02.839633 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 737488:737644, ack 397, win 570, length 156
20:29:02.839681 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 737644:737800, ack 397, win 570, length 156
20:29:02.839729 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 737800:737956, ack 397, win 570, length 156
20:29:02.839776 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 737956:738112, ack 397, win 570, length 156
20:29:02.839821 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 738112:738268, ack 397, win 570, length 156
20:29:02.839869 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 738268:738424, ack 397, win 570, length 156
20:29:02.839927 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 738424:738580, ack 397, win 570, length 156
20:29:02.839980 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 738580:738736, ack 397, win 570, length 156
20:29:02.840021 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 701868, win 17972, length 0
20:29:02.840022 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 703116, win 17976, length 0
20:29:02.840112 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 738736:739100, ack 397, win 570, length 364
20:29:02.840161 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 739100:739256, ack 397, win 570, length 156
20:29:02.840207 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 739256:739412, ack 397, win 570, length 156
20:29:02.840252 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 739412:739568, ack 397, win 570, length 156
20:29:02.840299 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 739568:739724, ack 397, win 570, length 156
20:29:02.840347 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 739724:739880, ack 397, win 570, length 156
20:29:02.840412 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 739880:740036, ack 397, win 570, length 156
20:29:02.840887 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 740036:740192, ack 397, win 570, length 156
20:29:02.840995 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 740192:740348, ack 397, win 570, length 156
20:29:02.841111 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 740348:740504, ack 397, win 570, length 156
20:29:02.841170 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 740504:740660, ack 397, win 570, length 156
20:29:02.841222 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 740660:740816, ack 397, win 570, length 156
20:29:02.841268 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 740816:740972, ack 397, win 570, length 156
20:29:02.841307 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 740972:741128, ack 397, win 570, length 156
20:29:02.841343 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 741128:741284, ack 397, win 570, length 156
20:29:02.841377 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 741284:741440, ack 397, win 570, length 156
20:29:02.841409 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 741440:741596, ack 397, win 570, length 156
20:29:02.841471 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 741596:741752, ack 397, win 570, length 156
20:29:02.841510 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 741752:741908, ack 397, win 570, length 156
20:29:02.841543 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 741908:742064, ack 397, win 570, length 156
20:29:02.841576 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 742064:742220, ack 397, win 570, length 156
20:29:02.841613 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 742220:742376, ack 397, win 570, length 156
20:29:02.841660 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 742376:742532, ack 397, win 570, length 156
20:29:02.841696 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 742532:742688, ack 397, win 570, length 156
20:29:02.841741 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 742688:742844, ack 397, win 570, length 156
20:29:02.841779 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 742844:743000, ack 397, win 570, length 156
20:29:02.841825 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 743000:743156, ack 397, win 570, length 156
20:29:02.841878 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 743156:743312, ack 397, win 570, length 156
20:29:02.841932 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 743312:743468, ack 397, win 570, length 156
20:29:02.841984 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 743468:743624, ack 397, win 570, length 156
20:29:02.842037 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 743624:743780, ack 397, win 570, length 156
20:29:02.842097 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 743780:743936, ack 397, win 570, length 156
20:29:02.842272 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 743936:744092, ack 397, win 570, length 156
20:29:02.842458 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 744092:744248, ack 397, win 570, length 156
